Atoms,BDE_kcal,BDE_kJ,SMILES,Targeted_Halogen,MolWt,LogP,TPSA,NumRotBonds,HBD,FractionCsp3,NumHeavyAtoms,Halogen_Z,C_degree,C_hybridization,X_hybridization,C_GasteigerCharge,X_GasteigerCharge,X_EN
Cyanogen fluoride,115.4,428.8,FC#N,F,45.016,0.43698,23.79,0,0,0,3,9,2,2,4,0.272895908,-0.113779177,3.98
Tetrafluoromethane,130.7,546.8,FC(F)(F)F,F,88.003,1.4757,0,0,0,1,5,9,4,4,4,0.559436484,-0.139859121,3.98
Trifluoromethane,127.6,533.9,FC(F)F,F,70.013,1.1785,0,0,0,1,4,9,3,4,4,0.378625158,-0.174223846,3.98
Difluoromethane,118.6,496.2,FCF,F,52.023,0.8829,0,0,0,1,3,9,2,4,4,0.228519759,-0.214185892,3.98
Chlorofluoromethane,122.3,511.7,FCCl,F,68.478,1.1522,0,0,0,1,3,9,2,4,4,0.162895094,-0.233647252,3.98
Trifluorobromomethane,120.4,504,FC(F)(F)Br,F,148.909,1.9011,0,0,0,1,5,9,4,4,4,0.44787588,-0.160047789,3.98
Dichlorofluoromethane,115.2,482,FC(Cl)Cl,F,102.923,1.7171,0,0,0,1,4,9,3,4,4,0.246717227,-0.211877551,3.98
Chlorodifluoromethane,110.5,462.3,FC(F)Cl,F,86.468,1.4478,0,0,0,1,4,9,3,4,4,0.311892977,-0.191954525,3.98
Trichlorofluoromethane,105,439.3,FC(Cl)(Cl)Cl,F,137.368,2.2836,0,0,0,1,5,9,4,4,4,0.333265288,-0.189169342,3.98
Dichlorofluoromethane,106.7,446,FC(Cl)Cl,F,102.923,1.7171,0,0,0,1,4,9,3,4,4,0.246717227,-0.211877551,3.98
Chlorofluoromethane,111.2,465.3,FCCl,F,68.478,1.1522,0,0,0,1,3,9,2,4,4,0.162895094,-0.233647252,3.98
Bromochlorodifluoromethane,114.5,479,FC(F)(Cl)Br,F,165.364,2.1704,0,0,0,1,5,9,4,4,4,0.3777889,-0.176580529,3.98
Bromochlorofluoromethane0,107.5,450,FC(Cl)Br,F,147.374,1.8732,0,0,0,1,4,9,3,4,4,0.227388558,-0.217163468,3.98
Bromodichlorofluoromethane,104.7,438,FC(Cl)(Cl)Br,F,181.819,2.4397,0,0,0,1,5,9,4,4,4,0.312187882,-0.194816276,3.98
Dibromochlorofluoromethane,100,418,FC(Cl)(Br)Br,F,226.27,2.5958,0,0,0,1,5,9,4,4,4,0.291833215,-0.200336641,3.98
Tribromofluoromethane,99,414,FC(Br)(Br)Br,F,270.721,2.7519,0,0,0,1,5,9,4,4,4,0.272175847,-0.205734157,3.98
Dibromofluoromethane,105.8,443,FC(Br)Br,F,191.825,2.0293,0,0,0,1,4,9,3,4,4,0.208583013,-0.222335213,3.98
Bromofluoromethane,111.3,466,FCBr,F,112.929,1.3083,0,0,0,1,3,9,2,4,4,0.144122949,-0.238667433,3.98
Triiodofluoromethane,109.6,459,FC(I)(I)I,F,411.721,2.8722,0,0,0,1,5,9,4,4,4,0.258738743,-0.209112711,3.98
Diiodofluoromethane,114,477,FC(I)I,F,285.825,2.1095,0,0,0,1,4,9,3,4,4,0.200527182,-0.224436497,3.98
Fluoromethane,110,460,CF,F,34.033,0.5857,0,0,0,1,2,9,1,4,4,0.078507957,-0.254729738,3.98
Fluoroethyne                                  ,124.6,521.3,FC#C,F,44.028,0.5466,0,0,0,0,3,9,2,2,4,0.101665498,-0.144479912,3.98
Difluoroethyne,124,519,FC#CF,F,62.018,0.8438,0,0,0,0,4,9,2,2,4,0.14141203,-0.14141203,3.98
Tetrafluoroethylene,130.6,546.4,FC(F)=C(F)F,F,100.014,1.991,0,0,0,0,6,9,3,3,4,0.33445026,-0.16722513,3.98
Chlorotrifluoroethylene,110,460,FC(F)=C(F)Cl,F,116.469,2.2603,0,0,0,0,6,9,3,3,4,0.316986828,-0.168961059,3.98
Hexafluoroethane,127.2,532.2,FC(F)(F)C(F)(F)F,F,138.01,2.111,0,0,0,1,8,9,4,4,4,0.487416735,-0.162472245,3.98
"1,1,1,2-Tetrafluoroethane",109.4,457.7,FCC(F)(F)F,F,102.03,1.5182,0,0,0,1,6,9,2,4,4,0.1847565,-0.241126556,3.98
Pentafluoroethane,128.2,536.4,FC(F)C(F)(F)F,F,120.02,1.8138,0,0,0,1,7,9,3,4,4,0.331988091,-0.20005386,3.98
"1,1,2-Trifluoroethane ",120.9,505.7,FCC(F)F,F,84.04,1.221,0,1,0,1,5,9,2,4,4,0.150041892,-0.244830022,3.98
"1,1,2-Trifluoroethane",109.6,458.4,FCC(F)F,F,84.04,1.221,0,1,0,1,5,9,2,4,4,0.150041892,-0.244830022,3.98
"1,1,2,2-Tetrafluoroethane",123.8,518.2,FC(F)C(F)F,F,102.03,1.5166,0,1,0,1,6,9,3,4,4,0.29776503,-0.203943204,3.98
