Atoms,BDE_kcal,BDE_kJ,SMILES,Targeted_Halogen,MolWt,LogP,TPSA,NumRotBonds,HBD,FractionCsp3,NumHeavyAtoms,Halogen_Z,C_degree,C_hybridization,X_hybridization,C_GasteigerCharge,X_GasteigerCharge,X_EN
(Fluoromethyl)benzene,98.7,412.8,FCc1ccccc1,F,110.131,2.1561,0,1,0,0.142857143,8,9,2,4,4,0.114512201,-0.24592693,3.98
Formyl fluoride,11520,482,FC=O,F,48.016,0.1461,17.07,0,0,0,3,9,2,3,4,0.289078279,-0.168625183,3.98
Fluoroformyl fluoride,122,510.3,FC(F)=O,F,66.006,1.0454,17.07,0,0,0,4,9,3,3,4,0.482918058,-0.131805809,3.98
Chloroformyl fluoride,115.8,484.5,FC(Cl)=O,F,82.461,1.3147,17.07,0,0,0,4,9,3,3,4,0.394065166,-0.146545779,3.98
Acetyl fluoride,122.3,511.7,CC(F)=O,F,62.043,0.5024,17.07,0,0,0.5,4,9,3,3,4,0.297964205,-0.165214852,3.98
Chloropyridine,90.5,378.7,Clc1ccccn1,Cl,113.547,1.735,12.89,0,0,0,7,17,3,3,4,0.128505308,-0.062330355,3.16
Chloropyrazine,86.6,362.3,Clc1cnccn1,Cl,114.535,1.13,25.78,0,0,0,7,17,3,3,4,0.146772565,-0.060595836,3.16
"Ethyl 2,2-dibromoacetate",62.9,263.2,CCOC(=O)C(Br)Br,Br,245.898,1.6654,26.3,2,0,0.75,8,35,3,4,4,0.166587798,-0.063713862,2.96
"Ethyl 2,2,2-tribromoacetate",58.9,246.4,CCOC(=O)C(Br)(Br)Br,Br,324.794,2.388,26.3,1,0,0.75,9,35,4,4,4,0.230847565,-0.04715225,2.96
"Diethyl 2-bromopropane-1,3- dioate",63.5,265.7,CCOC(=O)C(Br)C(=O)OCC,Br,239.065,0.8761,52.6,4,0,0.714285714,12,35,3,4,4,0.208714517,-0.063757719,2.96
"Diethyl 2,2-dibromopropane1,3-dioate",61.4,256.9,CCOC(=O)C(Br)(Br)C(=O)OCC,Br,317.961,1.5987,52.6,4,0,0.714285714,13,35,4,4,4,0.272810857,-0.047149417,2.96
Benzoyl iodide,50.7,212.1,IC(=O)c1ccccc1,I,232.02,2.2618,17.07,1,0,0,9,53,3,3,4,0.221892134,0.005573664,2.66
Iodoacetic acid,47.2,197.5,OC(=O)CI,I,185.948,0.506,37.3,1,1,0.5,5,53,2,4,4,0.097432059,-0.073842952,2.66
3-Iodopropanioc acid,54.5,228,OC(=O)CCI,I,199.975,0.8961,37.3,2,1,0.666666667,6,53,2,4,4,0.010019378,-0.085756996,2.66
Ethyl 2-iodoacetate,51.9,217.1,CCOC(=O)CI,I,214.002,0.9845,26.3,2,0,0.75,7,53,2,4,4,0.09760847,-0.07383684,2.66
1-Chloro-2-methyl propane,83.8,350.6,CC(C)CCl,Cl,92.569,1.8812,0,1,0,1,5,17,2,4,4,0.024600368,-0.126436864,3.16
2-Chlorobutane,83.7,350.2,CCC(C)Cl,Cl,92.569,2.0237,0,1,0,1,5,17,3,4,4,0.030476536,-0.12332142,3.16
2-Chloro-2-methyl propane,84.1,351.9,CC(C)(C)Cl,Cl,92.569,2.0237,0,0,0,1,5,17,4,4,4,0.036211637,-0.120213327,3.16
(1-Bromo-isopropyl)benzene,56.6,236.7,CC(C)(Br)c1ccccc1,Br,199.091,3.3166,0,1,0,0.333333333,10,35,4,4,4,0.04493554,-0.080740773,2.96
"1-Chloro-1,1,2-trifluoro2-iodo-ethan",48.3,202,FC(I)C(F)(F)Cl,I,244.381,2.5486,0,1,0,1,7,53,3,4,4,0.228280026,-0.036467782,2.66
